          English                   German                     French                   Spanish              Portuguese                        Arabic
          crystal                 Kristall                    cristal                   cristal                 cristal                       كريستال
             cult                     Kult                      culte                     culto                   culto                   طائفة دينية
        cultivate              kultivieren                   cultiver                  cultivar                cultivar                    زرع او صقل
        curiosity                Neugierde                  curiosité                curiosidad             curiosidade                  حب الاستطلاع
          custody               Verwahrung                      garde                  custodia                custódia                          عهدة
          cutting                Schneiden                      Coupe                     corte                   corte                           قطع
          cynical                  zynisch                    cynique                    cínico                  cínico                          ساخر
              dam                     Damm                   endiguer                     presa                barragem                            سد
         damaging              beschädigen                dommageable               perjudicial             prejudicial                           ضار
             dawn             Morgengrauen                       aube                  amanecer               alvorecer                          فَجر
           debris                  Trümmer                     débris                 escombros               destroços                          حطام
            debut                    Debüt                      début                     debut                 estréia                      لاول مرة
  decision-making     Entscheidungsfindung       la prise de décision        Toma de decisiones     tomando uma decisão                  صناعة القرار
         decisive             entscheidend                    décisif                  decisivo                decisivo                          حاسم
      declaration                Erklärung                déclaration               declaración              declaração                         إعلان
        dedicated                  Widmung                      dédié                  dedicado                dedicada                          مخلص
       dedication                  Widmung                 dévouement                dedicación               dedicação                         إخلاص
             deed                  Urkunde                       acte                 escritura                     ato                         الفعل
             deem                     deem                 considérer                considerar              considerar                         تعتبر
          default                   Verzug                     défaut                   defecto            predefinição                       إفتراضي
           defect                   Mangel                     défaut                   defecto                 defeito                           خلل
        defensive                  Einrede                  défensive                 defensivo               defensiva                         دفاعي
       deficiency                  Defizit                    carence               deficiencia             deficiência                           نقص
          deficit                  Defizit                    déficit                   déficit                 déficit                           عجز
             defy                  trotzen                     defier                  desafiar                desafiar                          يعصي
         delegate               delegieren                   déléguer                   delegar                 delegar                         مندوب
       delegation               Delegation                 délégation                delegación               delegação                           وفد
         delicate                   heikel                    délicat                  delicado                delicado                          حساس
            demon                    Dämon                      démon                   demonio                 demônio                         شيطان
           denial                  leugnen                    le déni                  negación                 negação                         إنكار
         denounce               anprangern                   dénoncer                 denunciar               denunciar                       التنديد
            dense                    dicht                      dense                     denso                   denso                          كثيف
          density                   Dichte                    densité                  densidad               densidade                         كثافة
       dependence             Abhängigkeit                 dépendance               dependencia             dependência                      الاعتماد
           depict                 abbilden                représenter               representar                retratar                           تصف
           deploy               aufstellen                   déployer                 desplegar               implantar                           نشر
       deployment                  Einsatz                déploiement                despliegue             implantação                         تعيين
          deprive                 berauben                     priver                    privar                  privar                          تحرم
           deputy           Stellvertreter                    adjoint                  diputado                deputado                        النائب
          descend                absteigen                  descendre                 descender                  descer                         تنحدر
          descent                  Abstieg                   descente              descendencia                 descida                          نزول
        designate                 benennen                   désigner                 designado                designar                           عين
        desirable            wünschenswert                souhaitable                  deseable               desejável                     مرغوب فيه
          desktop             Schreibtisch                     bureau                escritorio        Área de Trabalho                    سطح المكتب
      destructive            zerstörerisch                destructeur               destructivo              destrutivo                         مدمرة
           detain             zurückhalten                    détenir                   detener                   deter                           حجز
        detection                Erkennung                  détection                 detección                detecção                           كشف
        detention               Festhalten                    retenue                 detención                detenção                        احتجاز
      deteriorate           verschlechtern                 détériorer              deteriorarse              deteriorar                        تتدهور
        devastate                verwüsten                   dévaster                  devastar                devastar                          يدمر
            devil               verteufeln                     diable                   demonio                   diabo                         شيطان
           devise              ausarbeiten                     devise                     idear                inventar                         ابتكر
         diagnose          diagnostizieren              diagnostiquer              diagnosticar            diagnosticar                         تشخيص
        diagnosis          diagnostizieren                 diagnostic               diagnóstico             diagnóstico                         تشخبص
          dictate                diktieren                     dicter                    dictar                   ditar                          تملي
         dictator                 Diktator                  dictateur                  dictador                 ditador                       دكتاتور
    differentiate           differenzieren               différencier               diferenciar             diferenciar                          يميز
          dignity                    Würde                    dignité                  dignidad               dignidade                         كرامة
          dilemma                  Dilemma                    dilemme                    dilema                  dilema                         معضلة
        dimension                Dimension                  dimension                 dimensión                dimensão                         البعد
         diminish              verkleinern                      talon                 disminuir                diminuir                          يقلل
              dip               eintauchen                    tremper                   aderezo               mergulhar                         تراجع
         diplomat                 Diplomat                  diplomate               diplomático               diplomata                      دبلوماسي
       diplomatic             diplomatisch               diplomatique               diplomático             diplomático                      دبلوماسي
        directory              Verzeichnis                   annuaire                directorio               diretório                        الدليل
       disastrous             katastrophal             catastrophique                desastroso              desastroso                         كارثي
          discard                  ablegen                      Jeter                  desechar               descartar                         تجاهل
        discharge                entlassen                   décharge                  descarga                descarga                   إبراء الذمة
         disclose               offenlegen                  divulguer                   revelar                divulgar                      الكشف عن
       disclosure              Offenlegung                divulgation               divulgación              divulgação                         إفشاء
        discourse                  Diskurs                   discours                  discurso                discurso                        الحوار
       discretion               Diskretion                 discrétion                discreción                critério                   حرية التصرف
   discrimination          Diskriminierung             discrimination            discriminación           discriminação                         تمييز
        dismissal               Entlassung               congédiement                   despido                demissão                         الفصل
         displace               verdrängen                   déplacer                 desplazar                deslocar                         تهجير
         disposal                entsorgen                disposition                   desecho              disposição                         ازالة
          dispose                entsorgen                    dispose                  disponer               descartar                          تخلص
          dispute                 streiten               contestation                  disputar                 disputa                          خلاف
          disrupt                   stören                  perturber               interrumpir                perturbe                          يعطل
       disruption                   stören               perturbation                   ruptura             interrupção                           خلل
         dissolve                 auflösen                  dissoudre                  disolver               dissolver                          تذوب
      distinction            unterscheiden                distinction                distinción               distinção                        امتياز
      distinctive          unverwechselbar                 distinctif                distintivo              distintivo                         متميز
          distort                verzerren                    fausser              distorsionar               distorcer                        التشوه
         distress              beunruhigen                   détresse                  angustia              sofrimento                          محنة
       disturbing                   stören                 inquiétant               perturbador             perturbador                          مزعج
           divert                 ablenken                   dérouter                   desviar                 desviar                         تحويل
           divine                 göttlich                      Divin                    divino                  divino                          إلهي
         doctrine                  Doktrin                   doctrine                  doctrina                doutrina                         عقيدة
    documentation            Dokumentation              Documentation             documentación            documentação                         توثيق
           domain                   Domain                    domaine                   dominio                 domínio                          نطاق
        dominance             beherrschung                  dominance                   dominio                 domínio                         هيمنة
            donor                  Spender                    donneur                   donante                  doador                    جهات مانحة
             dose                    Dosis                       dose                     dosis                    dose                          جرعة
            drain                  Abfluss                      drain                      fuga                    ralo                      بالُوعَة
            drift                    Drift                     dérive                    deriva                  deriva                        المغزى
          driving                  treiben                   conduite               conduciendo               dirigindo                       القيادة
            drown                ertrinken                      noyer                    ahogar                  afogar                          يغرق
             dual                     dual                     double                     doble                    dual                         مزدوج
              dub          synchronisieren                    doubler                    doblar                  dublar                          يصفه
             dumb                     dumm                    stupide                      mudo                  idiota                           غبي
              duo                      duo                        duo                       dúo                     duo                       الثنائي
          dynamic                dynamisch                  dynamique                  dinámica                dinâmico                         متحرك
         earnings                 Ergebnis                      gains                 ganancias                  ganhos                       الأرباح
             ease              erleichtern                  faciliter                 facilitar              facilidade                       يُسَهّل
             echo                     echo                       écho                       eco                     eco                       صدى صوت
       ecological               ökologisch                 écologique                 ecológico               ecológico                          بيئي
         educator                 Erzieher                  éducateur                  educador                educador                          مربي
    effectiveness              Wirksamkeit                 efficacité                  eficacia                eficácia                        فعالية
       efficiency                Effizienz                 Efficacité                eficiencia              eficiência                         نجاعة
              ego                      Ego                        ego                       ego                     ego                        الغرور
        elaborate               durchdacht                   élaborer                  elaborar                elaborar                          يشرح
        electoral                   wählen                  électoral                 electoral               eleitoral                       انتخابي
          elevate                  erheben                     élever                    elevar                  elevar                           رفع
         eligible                  wählbar                 admissible                  elegible                elegível                          مؤهل
            elite                    elite                      élite                     élite                   elite                          نخبة
           embark               einsteigen                  embarquer                  embarcar                embarcar                        الشروع
    embarrassment                 peinlich                   embarras                 vergüenza                embaraço                         إحراج
          embassy                botschaft                  ambassade                  embajada               embaixada                       السفارة
            embed                einbetten                   intégrer                  empotrar                 Embutir                         تضمين
           embody               verkörpern                   incarner                  encarnar              incorporar                           جسد
        emergence               Auftauchen                  émergence                 aparición              emergência                          ظهور
        empirical                empirisch                  empirique                  empírico                empírico                        تجريبي
          empower              ermächtigen                  habiliter                 autorizar           empoderamento                         تمكين
            enact          in Kraft setzen                 promulguer                 promulgar               promulgar                     يسن قانون
        encompass             einschließen                   englober                   abarcar                abranger                           شمل
    encouragement                ermutigen              encouragement                     ánimo           encorajamento                         تشجيع
      encouraging                ermutigen               encourageant                 alentador             encorajando                         تشجيع
         endeavor                  bemühen                     effort                    empeño          empreendimento                           سعي
          endless                   endlos                   sans fin                   sin fin                 sem fim                     بلا نهاية
          endorse              befürworten                   endosser                   endosar                endossar                         تصادق
      endorsement             Befürwortung                approbation                aprobación                 endosso                      المصادقة
           endure                 ertragen                  supporter                  soportar                aguentar                          تحمل
          enforce                erzwingen                    imposer             hacer cumplir                   impor                           فرض
      enforcement             Durchsetzung            mise en vigueur                aplicación                execução                        إجباري
       engagement               Engagement                 engagement                compromiso                 noivado                      الارتباط
         engaging                einbinden                  engageant                 atractivo                noivando                      الانخراط
           enrich               bereichern                   enrichir                enriquecer              enriquecer                          يثرى
           enroll             einschreiben                   inscrire               inscribirse              matricular                  يتسجل، يلتحق
            ensue                   folgen                   résulter                sobrevenir                  seguir                 يترتب على ذلك
       enterprise              Unternehmen                 entreprise                   empresa          empreendimento                مشروع - مغامرة
       enthusiast               engagieren                  passionné                entusiasta              entusiasta                         متحمس
          entitle              berechtigen               donner droit               dar derecho               autorizar                            حق
           entity              Unternehmen                     entité                   entidad                entidade                          كيان
         epidemic                 Epidemie                   épidémie                  epidemia                epidemia                         وبائي
         equality               Gleichheit                    égalité                  igualdad               igualdade                      المساواة
         equation                Gleichung                   équation                  ecuación                 equação                        معادلة
            erect               aufstellen                     ériger                   erguido                   ereto                         منتصب
         escalate               eskalieren                intensifier                   escalar                 escalar                         يتصعد
          essence                   Essenz                    essence                   esencia                essência                          جوهر
    establishment              Einrichtung              établissement           establecimiento         estabelecimento                         مؤسسة
          eternal                     ewig                    éternel                    eterno                  eterno                          أبدي
         evacuate               evakuieren                    évacuer                   evacuar                 evacuar                         إخلاء
            evoke                evozieren                    évoquer                    evocar                  evocar                       استحضار
     evolutionary              evolutionär             évolutionniste                 evolutivo               evolutivo                         تطوري
       exaggerate              übertreiben                   exagérer                  exagerar                exagerar                        مبالغة
       excellence             hervorragend                 excellence                excelencia              excelência                          تفوق
      exceptional          außergewöhnlich               exceptionnel               excepcional             excepcional                      استثنائي
           excess                  Übermaß                      excès                    exceso                 excesso                         إفراط
        exclusion               Ausschluss                  exclusion                 exclusión                exclusão                       استبعاد
        exclusive                 exklusiv                   exclusif                 exclusivo               exclusivo                         حصرية
      exclusively           ausschließlich              exclusivement            exclusivamente          exclusivamente                         حصريا
          execute                ausführen                   exécuter                  ejecutar                executar                    نفذ - اعدم
        execution               Ausführung                  exécution                 ejecución                execução                         إعدام
            exert                  ausüben                    exercer                   ejercer                 exercer                           بذل
            exile                exilieren                      exilé                    exilio                  exílio                          منفى
      expenditure                 ausgeben                    dépense                     gasto                 despesa                     المصروفات
     experimental            experimentell               expérimental              experimental            experimental                        تجريبي
           expire                 ablaufen                    expirer                   expirar                 expirar                         تنقضي
         explicit             ausdrücklich                  explicite                 explícito               explícito                          صريح
       explicitly             ausdrücklich              explicitement            explícitamente          explicitamente                         صراحة
     exploitation               Verwertung               exploitation               explotación              exploração                       استغلال
        explosive                 explosiv                   explosif                 explosivo               explosivo                   مادة متفجرة
          extract                   Auszug                    extrait                  extracto                 extrair                         مقتطف
        extremist            extremistisch                 extrémiste                extremista              extremista                         متطرف
       facilitate              erleichtern                  faciliter                 facilitar               facilitar                          يسهل
          faction                 Fraktion                    faction                   facción                  facção                          فصيل
             fade               ausblenden                disparaître                  desteñir               desvaneça                         يختفي
         fairness                 Fairness                    justice                  justicia                 justiça                       الإنصاف
            fatal                  tödlich                     mortel                     fatal                   fatal                          مميت
             fate                Schicksal                       sort                   destino                 destino                           قدر
        favorable                  Günstig                  favorable                 favorable               favorável                         ملائم
             feat               Kunststück                    exploit                       Con                Parceria                           عمل
           felony                 Straftat                      crime                    delito                   crime                         جناية
         feminist             feministisch                  féministe                 feminista               feminista                    ناشط نسائي
            fiber                    Faser                      fibre                     fibra                   fibra                      الأساسية
           fierce                   heftig                     féroce                   intenso                   feroz                           شرس
        filmmaker              Filmemacher                réalisateur                  cineasta                cineasta                        المخرج
           filter                   Filter                     filtre                   filtrar                  filtro                          منقي
             fine                     fein                       bien                     multa                  multar                          بخير
          firearm              Schusswaffe                 arme à feu             arma de fuego            arma de fogo                     سلاح ناري
           fiscal               steuerlich                     fiscal                    fiscal                  fiscal                       المالية
              fit                   passen                    adapter                   adaptar                em forma                    لائق بدنيا
             flaw               fehlerhaft                     défaut                     falla                   falha                           عيب
           flawed               fehlerhaft                 défectueux                defectuoso                   falho                          معيب
             flee                  fliehen                       fuir                      huir                   fugir                          اهرب
            fleet                   Flotte                     flotte                     flota                   frota                          سريع
            flesh                    flesh                      chair                     carne                   carne                           لحم
      flexibility             Flexibilität                  souplesse              flexibilidad           flexibilidade                       المرونة
         flourish                   blühen                    fleurir                  florecer               florescer                         تزدهر
            fluid                  flüssig                     fluide                   líquido                  fluido                          سائل
          footage             Filmmaterial                     images                  imágenes                   cenas                         لقطات
        foreigner                Ausländer                   étranger                extranjero             estrangeiro                         أجنبي
            forge                schmieden                     forger                    fragua                   forja                         تشكيل
          formula                   formel                    formule                   fórmula                 Fórmula                        معادلة
        formulate              formulieren                   formuler                  formular                formular                         صياغة
            forth                   weiter                   en avant                  adelante                 adiante                         إيابا
      forthcoming             bevorstehend                    à venir                   próximo                 próximo              قادم، صريح، يظهر
           foster                  fördern                  favoriser                   alentar                 adotivo                       الحاضنة
          fragile             zerbrechlich                    fragile                    frágil                  frágil                    قابل للكسر
        franchise                Franchise               la franchise                franquicia                franquia              الامتياز التجاري
          frankly             offen gesagt                franchement               francamente             francamente                        بصراحة
         freshman                  Neuling étudiant de première année  estudiante de primer año                 calouro                         طالبة
       frustrated               Frustriert                    frustré                 frustrado               frustrado                          محبط
      frustrating               frustriert                  frustrant                frustrante              frustrante                          محبط
      frustration              Frustration                frustration               frustración              frustração                         إحباط
       functional               funktional                fonctionnel                 funcional               funcional                         وظيفي
      fundraising          Spendensammlung          collecte de fonds     recaudación de fondos    angariação de fundos                  جمع التبرعات
          funeral               Beerdigung                  funéraire                   funeral                 funeral                         جنازة
         gambling              Glücksspiel              jeux d'argent                     juego           jogos de azar                        القمار
        gathering              Versammlung              la cueillette                   reunión                 reunião                          تجمع
             gaze                    Blick                     regard                    mirada                   olhar                         تحديق
             gear               Ausrüstung                 équipement                 engranaje              engrenagem                           هيأ
          generic                generisch                  générique                  genérico                genérico                          نوعي
         genocide                  genozid                   génocide                 genocidio               genocídio                  إبادة جماعية
              gig                      Gig                    concert                     Curro                    show                          أزعج
           glance                    blick                 coup d'œil                   vistazo                   olhar                          يلمح
          glimpse         flüchtiger Blick                    cligner                 parpadear                  piscar                           رمش
         glorious                glorreich                   glorieux                  glorioso                glorioso                        المجيد
            glory                     Ruhm                     gloire                    gloria                  glória                           مجد
       governance                 regieren                gouvernance               gobernancia              governança                         الحكم
            grace                    Anmut                   la grâce                    gracia                   graça              نعمة او وقت سماح
            grasp                 Erfassen                     saisir                   sujetar                  aperto              يفهم، يمسك، يقبض
            grave                     Grab                   la tombe                     tumba                    cova                          خطير
            grave                     Grab                   la tombe                     tumba                    cova                          خطير
          gravity              Schwerkraft                 la gravité                  gravedad               gravidade                      الجاذبية
             grid                   Gitter                  la grille                cuadrícula                    rede                          جريد
            grief                  trauern                    douleur                     dolor                   pesar                           حزن
             grin                  grinsen                    sourire                   sonrisa                 sorriso                       ابتسامة
            grind                   mahlen                     moudre                     moler                    moer                          طَحن
             grip                  greifen                     saisir                    agarre                 firmeza                         سيطرة
            gross                     grob                       brut                     bruto                   bruto                         أزداد
        guerrilla                 Guerilla                   guérilla                 guerrilla               guerrilha                  حرب العصابات
         guidance                Anleitung                   conseils                      guía              orientação                         إرشاد
            guilt                   schuld                culpabilité                     culpa                   culpa                         الذنب
              gut                    Bauch                   intestin                 intestino               intestino                القناة الهضمية
             hail                    hagel                      grêle                      Viva                saudação                          وابل
          halfway                 halbwegs                à mi-chemin              Medio camino          a meio caminho               في منتصف الطريق
             halt                     Halt                      arrêt                   detener                   parar                           وقف
          handful                 Handvoll                    poignée                    puñado                 punhado                          حفنة
         handling               Handhabung                manutention                    manejo             manipulação                        معالجة
            handy                praktisch                   pratique                  práctico                 prático                           سهل
       harassment                 Schikane                harcèlement                     acoso                 assédio                          تحرش
         hardware                 Hardware                   Matériel                  hardware                hardware                       المعدات
          harmony                 Harmonie                   harmonie                   armonía                harmonia                        انسجام
            harsh                   harsch                        dur                      duro                  severo                         صارِم
          harvest                   ernten                   récolter                   cosecha                colheita                         محصول
           hatred                     hass                      haine                      odio                    ódio                        كراهية
            haunt                   spuken                     hanter                   guarida                assombro                         تطارد
           hazard                   Gefahr                    risquer                   peligro                  perigo                           خطر
         heighten                  Erhöhen                  augmenter                  aumentar                aumentar                          تصعد
         heritage                     Erbe                 patrimoine                  herencia                 herança                           إرث
        hierarchy               Hierarchie                 hiérarchie                 jerarquía              hierarquia                التسلسل الهرمي
     high-profile              hochkarätig                haut profil            de alto perfil             alto perfil                         رقيقة
             hint                  Hinweis                     indice               insinuación                    dica                        ملحوظة
         homeland               Heimatland                     patrie                    patria             terra natal                    البلد الام
             hook                    Haken                  accrocher                    gancho                  gancho                     صنارة صيد
          hopeful            hoffnungsvoll                  optimiste               esperanzado             esperançoso                        متفائل
          horizon                 Horizont                    horizon                 horizonte               horizonte                         الأفق
             horn                     Horn                     klaxon                    bocina                  chifre                           بوق
          hostage                   Geisel                      otage                     rehén                   refém                         رهينة
          hostile                feindlich                    hostile                    hostil                  hostil                         عدائي
        hostility           Feindseligkeit                  hostilité                hostilidad             hostilidade                        العداء
     humanitarian                humanitär                humanitaire               humanitario             humanitário                        إنساني
         humanity           Menschlichkeit                   humanité                 humanidad              humanidade                       إنسانية
           humble                  demütig                     humble                   humilde                 humilde                        متواضع
         hydrogen              Wasserstoff                  hydrogène                 hidrógeno              hidrogênio                      هيدروجين
   identification           Identifikation             identification            identificación           identificação                          هوية
      ideological              ideologisch                idéologique                ideológico              ideológico                     أيديولوجي
         ideology                Ideologie                  idéologie                 ideología               ideologia                    أيديولوجية
            idiot                    Idiot                      idiot                  estúpido                  idiota                           غبي
        ignorance             Unwissenheit                  ignorance                ignorancia              ignorância                           جهل
          imagery              Bildsprache                   imagerie                  imágenes                 imagens                          مصور
          immense                  immense                    immense                   inmenso                  imenso                          هائل
         imminent unmittelbar bevorstehend                   imminent                 inminente                iminente                          وشيك
   implementation                Umsetzung          la mise en oeuvre            implementación           implementação                         تطبيق
         imprison              inhaftieren                emprisonner                encarcelar              aprisionar                           حبس
        inability              Unfähigkeit                 incapacité               incapacidad            incapacidade                           عجز
